"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USC00420617","BENMORE, UT US","1934-01-01",,,
"USC00420617","BENMORE, UT US","1934-01-02",,,
"USC00420617","BENMORE, UT US","1934-01-03",,,
"USC00420617","BENMORE, UT US","1934-01-04",,,
"USC00420617","BENMORE, UT US","1934-01-05",,,
"USC00420617","BENMORE, UT US","1934-01-06",,,
"USC00420617","BENMORE, UT US","1934-01-07",,,
"USC00420617","BENMORE, UT US","1934-01-08",,,
"USC00420617","BENMORE, UT US","1934-01-09",,,
"USC00420617","BENMORE, UT US","1934-01-10",,,
"USC00420617","BENMORE, UT US","1934-01-11",,,
"USC00420617","BENMORE, UT US","1934-01-12",,,
"USC00420617","BENMORE, UT US","1934-01-13",,,
"USC00420617","BENMORE, UT US","1934-01-14",,,
"USC00420617","BENMORE, UT US","1934-01-15",,,
"USC00420617","BENMORE, UT US","1934-01-16",,,
"USC00420617","BENMORE, UT US","1934-01-17",,,
"USC00420617","BENMORE, UT US","1934-01-18",,,
"USC00420617","BENMORE, UT US","1934-01-19",,,
"USC00420617","BENMORE, UT US","1934-01-20",,,
"USC00420617","BENMORE, UT US","1934-01-21",,,
"USC00420617","BENMORE, UT US","1934-01-22",,,
"USC00420617","BENMORE, UT US","1934-01-23",,,
"USC00420617","BENMORE, UT US","1934-01-24",,,
"USC00420617","BENMORE, UT US","1934-01-25",,,
"USC00420617","BENMORE, UT US","1934-01-26",,,
"USC00420617","BENMORE, UT US","1934-01-27",,,
"USC00420617","BENMORE, UT US","1934-01-28",,,
"USC00420617","BENMORE, UT US","1934-01-29",,,
"USC00420617","BENMORE, UT US","1934-01-30",,,
"USC00420617","BENMORE, UT US","1934-01-31",,,
"USC00420617","BENMORE, UT US","1934-02-01",,,
"USC00420617","BENMORE, UT US","1934-02-02",,,
"USC00420617","BENMORE, UT US","1934-02-03",,,
"USC00420617","BENMORE, UT US","1934-02-04",,,
"USC00420617","BENMORE, UT US","1934-02-05",,,
"USC00420617","BENMORE, UT US","1934-02-06",,,
"USC00420617","BENMORE, UT US","1934-02-07",,,
"USC00420617","BENMORE, UT US","1934-02-08",,,
"USC00420617","BENMORE, UT US","1934-02-09",,,
"USC00420617","BENMORE, UT US","1934-02-10",,,
"USC00420617","BENMORE, UT US","1934-02-11",,,
"USC00420617","BENMORE, UT US","1934-02-12",,,
"USC00420617","BENMORE, UT US","1934-02-13",,,
"USC00420617","BENMORE, UT US","1934-02-14",,,
"USC00420617","BENMORE, UT US","1934-02-15",,,
"USC00420617","BENMORE, UT US","1934-02-16",,,
"USC00420617","BENMORE, UT US","1934-02-17",,,
"USC00420617","BENMORE, UT US","1934-02-18",,,
"USC00420617","BENMORE, UT US","1934-02-19",,,
"USC00420617","BENMORE, UT US","1934-02-20",,,
"USC00420617","BENMORE, UT US","1934-02-21",,,
"USC00420617","BENMORE, UT US","1934-02-22",,,
"USC00420617","BENMORE, UT US","1934-02-23",,,
"USC00420617","BENMORE, UT US","1934-02-24",,,
"USC00420617","BENMORE, UT US","1934-02-25",,,
"USC00420617","BENMORE, UT US","1934-02-26",,,
"USC00420617","BENMORE, UT US","1934-02-27",,,
"USC00420617","BENMORE, UT US","1934-02-28",,,
"USC00420617","BENMORE, UT US","1934-03-01",,,
"USC00420617","BENMORE, UT US","1934-03-02",,,
"USC00420617","BENMORE, UT US","1934-03-03",,,
"USC00420617","BENMORE, UT US","1934-03-04",,,
"USC00420617","BENMORE, UT US","1934-03-05",,,
"USC00420617","BENMORE, UT US","1934-03-06",,,
"USC00420617","BENMORE, UT US","1934-03-07",,,
"USC00420617","BENMORE, UT US","1934-03-08",,,
"USC00420617","BENMORE, UT US","1934-03-09",,,
"USC00420617","BENMORE, UT US","1934-03-10",,,
"USC00420617","BENMORE, UT US","1934-03-11",,,
"USC00420617","BENMORE, UT US","1934-03-12",,,
"USC00420617","BENMORE, UT US","1934-03-13",,,
"USC00420617","BENMORE, UT US","1934-03-14",,,
"USC00420617","BENMORE, UT US","1934-03-15",,,
"USC00420617","BENMORE, UT US","1934-03-16",,,
"USC00420617","BENMORE, UT US","1934-03-17",,,
"USC00420617","BENMORE, UT US","1934-03-18",,,
"USC00420617","BENMORE, UT US","1934-03-19",,,
"USC00420617","BENMORE, UT US","1934-03-20",,,
"USC00420617","BENMORE, UT US","1934-03-21",,,
"USC00420617","BENMORE, UT US","1934-03-22",,,
"USC00420617","BENMORE, UT US","1934-03-23",,,
"USC00420617","BENMORE, UT US","1934-03-24",,,
"USC00420617","BENMORE, UT US","1934-03-25",,,
"USC00420617","BENMORE, UT US","1934-03-26",,,
"USC00420617","BENMORE, UT US","1934-03-27",,,
"USC00420617","BENMORE, UT US","1934-03-28",,,
"USC00420617","BENMORE, UT US","1934-03-29",,,
"USC00420617","BENMORE, UT US","1934-03-30",,,
"USC00420617","BENMORE, UT US","1934-03-31",,,
"USC00420617","BENMORE, UT US","1934-04-01",,,
"USC00420617","BENMORE, UT US","1934-04-02",,,
"USC00420617","BENMORE, UT US","1934-04-03",,,
"USC00420617","BENMORE, UT US","1934-04-04",,,
"USC00420617","BENMORE, UT US","1934-04-05",,,
"USC00420617","BENMORE, UT US","1934-04-06",,,
"USC00420617","BENMORE, UT US","1934-04-07",,,
"USC00420617","BENMORE, UT US","1934-04-08",,,
"USC00420617","BENMORE, UT US","1934-04-09",,,
"USC00420617","BENMORE, UT US","1934-04-10",,,
"USC00420617","BENMORE, UT US","1934-04-11",,,
"USC00420617","BENMORE, UT US","1934-04-12",,,
"USC00420617","BENMORE, UT US","1934-04-13",,,
"USC00420617","BENMORE, UT US","1934-04-14",,,
"USC00420617","BENMORE, UT US","1934-04-15",,,
"USC00420617","BENMORE, UT US","1934-04-16",,,
"USC00420617","BENMORE, UT US","1934-04-17",,,
"USC00420617","BENMORE, UT US","1934-04-18",,,
"USC00420617","BENMORE, UT US","1934-04-19",,,
"USC00420617","BENMORE, UT US","1934-04-20",,,
"USC00420617","BENMORE, UT US","1934-04-21",,,
"USC00420617","BENMORE, UT US","1934-04-22",,,
"USC00420617","BENMORE, UT US","1934-04-23",,,
"USC00420617","BENMORE, UT US","1934-04-24",,,
"USC00420617","BENMORE, UT US","1934-04-25",,,
"USC00420617","BENMORE, UT US","1934-04-26",,,
"USC00420617","BENMORE, UT US","1934-04-27",,,
"USC00420617","BENMORE, UT US","1934-04-28",,,
"USC00420617","BENMORE, UT US","1934-04-29",,,
"USC00420617","BENMORE, UT US","1934-04-30",,,
"USC00420617","BENMORE, UT US","1934-05-01",,,
"USC00420617","BENMORE, UT US","1934-05-02",,,
"USC00420617","BENMORE, UT US","1934-05-03",,,
"USC00420617","BENMORE, UT US","1934-05-04",,,
"USC00420617","BENMORE, UT US","1934-05-05",,,
"USC00420617","BENMORE, UT US","1934-05-06",,,
"USC00420617","BENMORE, UT US","1934-05-07",,,
"USC00420617","BENMORE, UT US","1934-05-08",,,
"USC00420617","BENMORE, UT US","1934-05-09",,,
"USC00420617","BENMORE, UT US","1934-05-10",,,
"USC00420617","BENMORE, UT US","1934-05-11",,,
"USC00420617","BENMORE, UT US","1934-05-12",,,
"USC00420617","BENMORE, UT US","1934-05-13",,,
"USC00420617","BENMORE, UT US","1934-05-14",,,
"USC00420617","BENMORE, UT US","1934-05-15",,,
"USC00420617","BENMORE, UT US","1934-05-16",,,
"USC00420617","BENMORE, UT US","1934-05-17",,,
"USC00420617","BENMORE, UT US","1934-05-18",,,
"USC00420617","BENMORE, UT US","1934-05-19",,,
"USC00420617","BENMORE, UT US","1934-05-20",,,
"USC00420617","BENMORE, UT US","1934-05-21",,,
"USC00420617","BENMORE, UT US","1934-05-22",,,
"USC00420617","BENMORE, UT US","1934-05-23",,,
"USC00420617","BENMORE, UT US","1934-05-24",,,
"USC00420617","BENMORE, UT US","1934-05-25",,,
"USC00420617","BENMORE, UT US","1934-05-26",,,
"USC00420617","BENMORE, UT US","1934-05-27",,,
"USC00420617","BENMORE, UT US","1934-05-28",,,
"USC00420617","BENMORE, UT US","1934-05-29",,,
"USC00420617","BENMORE, UT US","1934-05-30",,,
"USC00420617","BENMORE, UT US","1934-05-31",,,
"USC00420617","BENMORE, UT US","1934-06-01",,,
"USC00420617","BENMORE, UT US","1934-06-02",,,
"USC00420617","BENMORE, UT US","1934-06-03",,,
"USC00420617","BENMORE, UT US","1934-06-04",,,
"USC00420617","BENMORE, UT US","1934-06-05",,,
"USC00420617","BENMORE, UT US","1934-06-06",,,
"USC00420617","BENMORE, UT US","1934-06-07",,,
"USC00420617","BENMORE, UT US","1934-06-08",,,
"USC00420617","BENMORE, UT US","1934-06-09",,,
"USC00420617","BENMORE, UT US","1934-06-10",,,
"USC00420617","BENMORE, UT US","1934-06-11",,,
"USC00420617","BENMORE, UT US","1934-06-12",,,
"USC00420617","BENMORE, UT US","1934-06-13",,,
"USC00420617","BENMORE, UT US","1934-06-14",,,
"USC00420617","BENMORE, UT US","1934-06-15",,,
"USC00420617","BENMORE, UT US","1934-06-16",,,
"USC00420617","BENMORE, UT US","1934-06-17",,,
"USC00420617","BENMORE, UT US","1934-06-18",,,
"USC00420617","BENMORE, UT US","1934-06-19",,,
"USC00420617","BENMORE, UT US","1934-06-20",,,
"USC00420617","BENMORE, UT US","1934-06-21",,,
"USC00420617","BENMORE, UT US","1934-06-22",,,
"USC00420617","BENMORE, UT US","1934-06-23",,,
"USC00420617","BENMORE, UT US","1934-06-24",,,
"USC00420617","BENMORE, UT US","1934-06-25",,,
"USC00420617","BENMORE, UT US","1934-06-26",,,
"USC00420617","BENMORE, UT US","1934-06-27",,,
"USC00420617","BENMORE, UT US","1934-06-28",,,
"USC00420617","BENMORE, UT US","1934-06-29",,,
"USC00420617","BENMORE, UT US","1934-06-30",,,
"USC00420617","BENMORE, UT US","1934-07-01",,,
"USC00420617","BENMORE, UT US","1934-07-02",,,
"USC00420617","BENMORE, UT US","1934-07-03",,,
"USC00420617","BENMORE, UT US","1934-07-04",,,
"USC00420617","BENMORE, UT US","1934-07-05",,,
"USC00420617","BENMORE, UT US","1934-07-06",,,
"USC00420617","BENMORE, UT US","1934-07-07",,,
